date,value,title,source
2020-05-13,1190000,downloads,https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles
2020-05-13,13565,of,https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles
2020-05-13,241079,formations,https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles
2020-05-13,1750000,profils activés,https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles
2020-05-13,8000000,visiteurs uniques,https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles
2020-04-01,1140000,downloads,https://www.cpformation.com/chiffres-mon-compte-formation/
2020-04-01,7240000,visiteurs uniques,https://www.cpformation.com/chiffres-mon-compte-formation/
2020-04-01,198398,dossiers validés,https://www.cpformation.com/chiffres-mon-compte-formation/
2020-04-01,13023,of,https://www.cpformation.com/chiffres-mon-compte-formation/
2020-04-01,187877,formations,https://www.cpformation.com/chiffres-mon-compte-formation/
2020-03-01,12218,of,https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/
2020-03-01,5700000,visiteurs uniques,https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/
2020-03-01,1300000,profils activés,https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/
2020-02-21,1000000,downloads,https://twitter.com/murielpenicaud/status/1230755393648726017
2020-03-01,151000,dossiers validés,https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/
2020-03-01,10000,dossiers/semaine,https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/
2020-02-27,2960000,actifs,https://www.insee.fr/fr/statistiques/4277653?sommaire=4318291
2019-12-01,54501,formations,https://inokufu.substack.com/p/offre-cpf-3-mois-vue-densemble
2020-03-01,211109,formations,https://inokufu.substack.com/p/offre-cpf-3-mois-vue-densemble
2020-03-01,6575,of (nom),https://inokufu.substack.com/p/offre-cpf-3-mois-vue-densemble
2020-07-31,224000,formations,https://twitter.com/caissedesdepots/status/1289101190807117825
2019-11-21,4000,of,https://www.centre-inffo.fr/site-centre-inffo/jour-j-pour-lapplication-mon-compte-formation
2019-11-21,40000,formations,https://www.centre-inffo.fr/site-centre-inffo/jour-j-pour-lapplication-mon-compte-formation
2019-12-06,365000,downloads,https://twitter.com/GoodMorning_Biz/status/1202856111885422592
2019-12-06,1000000,visiteurs uniques,https://twitter.com/GoodMorning_Biz/status/1202856111885422592
2019-11-26,200000,downloads,https://twitter.com/VerdierJouclas/status/1199372244503289857
2020-02-17,136000,dossiers validés,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/en-trois-mois-136-000-formations-ont-ete-achetees-via-lappli-cpf
2020-01-28,850000,downloads,https://www.facebook.com/ACTIV.Formations/posts/3510393032336186/
2020-01-28,800000,profils activés,https://www.facebook.com/ACTIV.Formations/posts/3510393032336186/
2020-01-28,10500,of,https://www.facebook.com/ACTIV.Formations/posts/3510393032336186/
2020-01-28,65000,dossiers validés,https://www.facebook.com/ACTIV.Formations/posts/3510393032336186/
2020-02-17,136000,dossiers validés,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/en-trois-mois-136-000-formations-ont-ete-achetees-via-lappli-cpf
2019-12-12,32000,dossiers validés,https://www.centre-inffo.fr/site-centre-inffo/32-000-formations-validees-via-lappli-mon-compte-formation-en-moins-dun-mois
2019-12-12,600000,downloads,https://www.centre-inffo.fr/site-centre-inffo/32-000-formations-validees-via-lappli-mon-compte-formation-en-moins-dun-mois
2020-09-01,19262,of,https://inokufu.substack.com
2020-09-01,8984,of (nom),https://inokufu.substack.com
