date,source,title,value
2020-05-13,https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles,downloads,1190000
2020-05-13,https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles,of,13565
2020-05-13,https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles,formations,241079
2020-05-13,https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles,profils activés,1750000
2020-04-01,http://publi.caissedesdepots.fr/DRS/ra-drs/ra-drs2019-20/?page=2,downloads,1200000
2020-05-13,https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles,visiteurs uniques,8000000
2020-04-01,http://publi.caissedesdepots.fr/DRS/ra-drs/ra-drs2019-20/?page=2,visiteurs uniques,7800000
2020-04-01,http://publi.caissedesdepots.fr/DRS/ra-drs/ra-drs2019-20/?page=2,dossiers validés,224000
2020-04-01,http://publi.caissedesdepots.fr/DRS/ra-drs/ra-drs2019-20/?page=2,of,13400
2020-04-01,http://publi.caissedesdepots.fr/DRS/ra-drs/ra-drs2019-20/?page=2,formations,224000
2020-03-01,https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/,profils activés,1300000
2020-03-01,https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/,of,12218
2020-03-01,https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/,visiteurs uniques,5700000
2020-03-01,https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/,dossiers validés,151000
2020-02-21,https://twitter.com/murielpenicaud/status/1230755393648726017,downloads,1000000
2020-03-01,https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/,dossiers/semaine,10000
2019-12-01,https://inokufu.substack.com/p/offre-cpf-3-mois-vue-densemble,formations,54501
2020-03-01,https://inokufu.substack.com/p/offre-cpf-3-mois-vue-densemble,formations,211109
2020-02-27,https://www.insee.fr/fr/statistiques/4277653?sommaire=4318291,actifs,2960000
2020-03-01,https://inokufu.substack.com/p/offre-cpf-3-mois-vue-densemble,of (nom),6575
2020-07-31,https://twitter.com/caissedesdepots/status/1289101190807117825,formations,224000
2019-11-21,https://www.centre-inffo.fr/site-centre-inffo/jour-j-pour-lapplication-mon-compte-formation,formations,40000
2019-12-06,https://twitter.com/GoodMorning_Biz/status/1202856111885422592,downloads,365000
2019-11-21,https://www.centre-inffo.fr/site-centre-inffo/jour-j-pour-lapplication-mon-compte-formation,of,4000
2019-12-06,https://twitter.com/GoodMorning_Biz/status/1202856111885422592,visiteurs uniques,1000000
2019-11-26,https://twitter.com/VerdierJouclas/status/1199372244503289857,downloads,200000
2020-01-28,https://www.facebook.com/ACTIV.Formations/posts/3510393032336186/,profils activés,800000
2020-02-17,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/en-trois-mois-136-000-formations-ont-ete-achetees-via-lappli-cpf,dossiers validés,136000
2020-01-28,https://www.facebook.com/ACTIV.Formations/posts/3510393032336186/,downloads,850000
2020-01-28,https://www.facebook.com/ACTIV.Formations/posts/3510393032336186/,of,10500
2020-01-28,https://www.facebook.com/ACTIV.Formations/posts/3510393032336186/,dossiers validés,65000
2020-02-17,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/en-trois-mois-136-000-formations-ont-ete-achetees-via-lappli-cpf,dossiers validés,136000
2019-12-12,https://www.centre-inffo.fr/site-centre-inffo/32-000-formations-validees-via-lappli-mon-compte-formation-en-moins-dun-mois,downloads,600000
2019-12-12,https://www.centre-inffo.fr/site-centre-inffo/32-000-formations-validees-via-lappli-mon-compte-formation-en-moins-dun-mois,dossiers validés,32000
2020-09-01,https://inokufu.substack.com,of,19262
2020-09-01,https://inokufu.substack.com,of (nom),8984
2020-09-21,https://www.blog-formation-entreprise.fr/cpf-effets-pervers-dun-consumerisme-formation/,downloads,1490000
2020-09-21,https://www.blog-formation-entreprise.fr/cpf-effets-pervers-dun-consumerisme-formation/,dossiers validés,576000
2020-09-16,https://twitter.com/caissedesdepots/status/1306902322258284545,formations,388800
2020-09-21,https://www.blog-formation-entreprise.fr/cpf-effets-pervers-dun-consumerisme-formation/,of,15400
2020-11-19,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/le-quotidien-de-la-formation/articles-2020/pres-dun-million-de-formations-financees-en-un-an-grace-a-mon-compte-formation,downloads,956646
2020-11-19,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/le-quotidien-de-la-formation/articles-2020/pres-dun-million-de-formations-financees-en-un-an-grace-a-mon-compte-formation,of,17140
2020-11-19,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/le-quotidien-de-la-formation/articles-2020/pres-dun-million-de-formations-financees-en-un-an-grace-a-mon-compte-formation,formations,319300
2020-11-19,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/le-quotidien-de-la-formation/articles-2020/pres-dun-million-de-formations-financees-en-un-an-grace-a-mon-compte-formation,prix moyen catalogue,2113
2020-11-19,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/le-quotidien-de-la-formation/articles-2020/pres-dun-million-de-formations-financees-en-un-an-grace-a-mon-compte-formation,achat moyen,1214
2020-11-19,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/le-quotidien-de-la-formation/articles-2020/pres-dun-million-de-formations-financees-en-un-an-grace-a-mon-compte-formation,certifications,5192
2020-11-19,https://www.centre-inffo.fr/site-centre-inffo/actualites-centre-inffo/le-quotidien-de-la-formation/articles-2020/pres-dun-million-de-formations-financees-en-un-an-grace-a-mon-compte-formation,cagnotte cpf moyenne,1280
2020-11-17,https://www.of.moncompteformation.gouv.fr/espace-public/actualite/mon-compte-formation-fete-son-premier-anniversaire,dossiers validés,808000
2020-11-17,https://www.of.moncompteformation.gouv.fr/espace-public/actualite/mon-compte-formation-fete-son-premier-anniversaire,achat moyen,1205
2020-11-17,https://www.of.moncompteformation.gouv.fr/espace-public/actualite/mon-compte-formation-fete-son-premier-anniversaire,cagnotte cpf moyenne,1280
2020-11-19,https://retraitesolidarite.caissedesdepots.fr/content/mon-compte-formation-un-et-financ-un-million-de-formations,downloads,2000000
