"date","source","title","value"
"May 13, 2020 12:00 am","https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles","downloads","1190000"
"May 13, 2020 12:00 am","https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles","of","13565"
"May 13, 2020 12:00 am","https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles","formations","241079"
"May 13, 2020 12:00 am","https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles","profils activés","1750000"
"May 13, 2020 12:00 am","https://www.caissedesdepots.fr/blog/article/mon-compte-formation-en-periode-de-confinement-chiffres-cles","visiteurs uniques","8000000"
"Apr 1, 2020 12:00 am","http://publi.caissedesdepots.fr/DRS/ra-drs/ra-drs2019-20/?page=2","downloads","1200000"
"Apr 1, 2020 12:00 am","http://publi.caissedesdepots.fr/DRS/ra-drs/ra-drs2019-20/?page=2","visiteurs uniques","7800000"
"Apr 1, 2020 12:00 am","http://publi.caissedesdepots.fr/DRS/ra-drs/ra-drs2019-20/?page=2","of","13400"
"Apr 1, 2020 12:00 am","http://publi.caissedesdepots.fr/DRS/ra-drs/ra-drs2019-20/?page=2","dossiers validés","224000"
"Apr 1, 2020 12:00 am","http://publi.caissedesdepots.fr/DRS/ra-drs/ra-drs2019-20/?page=2","formations","224000"
"Mar 1, 2020 12:00 am","https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/","of","12218"
"Mar 1, 2020 12:00 am","https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/","visiteurs uniques","5700000"
"Mar 1, 2020 12:00 am","https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/","profils activés","1300000"
"Feb 21, 2020 12:00 am","https://twitter.com/murielpenicaud/status/1230755393648726017","downloads","1000000"
"Mar 1, 2020 12:00 am","https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/","dossiers validés","151000"
"Mar 1, 2020 12:00 am","https://www.perspective-formation.fr/lappli-mon-compte-formation-en-10-chiffres-cles/","dossiers/semaine","10000"
"Dec 1, 2019 12:00 am","https://inokufu.substack.com/p/offre-cpf-3-mois-vue-densemble","formations","54501"
"Feb 27, 2020 12:00 am","https://www.insee.fr/fr/statistiques/4277653?sommaire=4318291","actifs","2960000"
"Mar 1, 2020 12:00 am","https://inokufu.substack.com/p/offre-cpf-3-mois-vue-densemble","formations","211109"
"Mar 1, 2020 12:00 am","https://inokufu.substack.com/p/offre-cpf-3-mois-vue-densemble","of (nom)","6575"
"Jul 31, 2020 12:00 am","https://twitter.com/caissedesdepots/status/1289101190807117825","formations","224000"
"Dec 6, 2019 12:00 am","https://twitter.com/GoodMorning_Biz/status/1202856111885422592","downloads","365000"
"Nov 21, 2019 12:00 am","https://www.centre-inffo.fr/site-centre-inffo/jour-j-pour-lapplication-mon-compte-formation","formations","40000"
"Dec 6, 2019 12:00 am","https://twitter.com/GoodMorning_Biz/status/1202856111885422592","visiteurs uniques","1000000"
"Nov 21, 2019 12:00 am","https://www.centre-inffo.fr/site-centre-inffo/jour-j-pour-lapplication-mon-compte-formation","of","4000"
"Nov 26, 2019 12:00 am","https://twitter.com/VerdierJouclas/status/1199372244503289857","downloads","200000"
